N;Aleat triSelection;PresqueTri triSelection;PresqueTriDeb triSelection;PresqueTriDebFin triSelection;PresqueTriFin triSelection;;;Aleat triBulles;PresqueTri triBulles;PresqueTriDeb triBulles;PresqueTriDebFin triBulles;PresqueTriFin triBulles;;;Aleat triBullesOpti;PresqueTri triBullesOpti;PresqueTriDeb triBullesOpti;PresqueTriDebFin triBullesOpti;PresqueTriFin triBullesOpti;;;Aleat triPeigne;PresqueTri triPeigne;PresqueTriDeb triPeigne;PresqueTriDebFin triPeigne;PresqueTriFin triPeigne;;;Aleat triRapide;PresqueTri triRapide;PresqueTriDeb triRapide;PresqueTriDebFin triRapide;PresqueTriFin triRapide;;;
66;2210;2210;2210;2210;2210;;;2145;2145;2145;2145;2145;;;2117;129;129;129;2145;;;678;678;678;678;678;;;531;441;399;514;442;;;
67;2277;2277;2277;2277;2277;;;2211;2211;2211;2211;2211;;;2190;131;131;131;2211;;;749;682;682;682;749;;;439;532;445;423;480;;;
68;2345;2345;2345;2345;2345;;;2278;2278;2278;2278;2278;;;2200;133;133;133;2278;;;761;693;693;693;693;;;443;470;450;551;500;;;
69;2414;2414;2414;2414;2414;;;2346;2346;2346;2346;2346;;;2241;135;135;135;2346;;;774;705;705;705;774;;;460;441;455;594;475;;;
70;2484;2484;2484;2484;2484;;;2415;2415;2415;2415;2415;;;2387;137;137;137;2415;;;788;718;718;718;788;;;498;608;532;512;556;;;
71;2555;2555;2555;2555;2555;;;2485;2485;2485;2485;2485;;;2365;139;139;139;2485;;;799;728;728;728;799;;;492;479;471;502;481;;;
72;2627;2627;2627;2627;2627;;;2556;2556;2556;2556;2556;;;2385;141;141;141;2556;;;880;736;736;736;808;;;490;482;510;603;581;;;
73;2700;2700;2700;2700;2700;;;2628;2628;2628;2628;2628;;;2618;143;143;143;2628;;;816;743;743;743;816;;;510;530;515;525;538;;;
74;2774;2774;2774;2774;2774;;;2701;2701;2701;2701;2701;;;2673;145;145;145;2701;;;830;756;756;756;830;;;526;526;539;477;494;;;
75;2849;2849;2849;2849;2849;;;2775;2775;2775;2775;2775;;;2565;147;147;147;2775;;;843;768;768;768;843;;;617;487;541;503;515;;;
76;2925;2925;2925;2925;2925;;;2850;2850;2850;2850;2850;;;2784;149;149;149;2850;;;779;779;779;779;855;;;521;495;554;507;513;;;
77;3002;3002;3002;3002;3002;;;2926;2926;2926;2926;2926;;;2923;151;151;151;2926;;;934;857;857;857;857;;;591;653;558;560;551;;;
78;3080;3080;3080;3080;3080;;;3003;3003;3003;3003;3003;;;3003;153;153;153;3003;;;946;868;868;868;868;;;616;555;604;644;562;;;
79;3159;3159;3159;3159;3159;;;3081;3081;3081;3081;3081;;;2990;155;155;155;3081;;;882;882;882;882;882;;;645;644;628;607;598;;;
80;3239;3239;3239;3239;3239;;;3160;3160;3160;3160;3160;;;3082;157;157;157;3160;;;895;895;895;895;895;;;553;591;623;577;621;;;
81;3320;3320;3320;3320;3320;;;3240;3240;3240;3240;3240;;;3087;159;159;159;3240;;;905;905;905;905;905;;;582;594;627;615;555;;;
82;3402;3402;3402;3402;3402;;;3321;3321;3321;3321;3321;;;3315;161;161;161;3321;;;999;917;917;917;917;;;551;595;573;681;724;;;
83;3485;3485;3485;3485;3485;;;3403;3403;3403;3403;3403;;;3337;163;163;163;3403;;;931;931;931;931;931;;;606;589;603;662;571;;;
84;3569;3569;3569;3569;3569;;;3486;3486;3486;3486;3486;;;3486;165;165;165;3486;;;937;937;937;937;937;;;658;647;588;573;607;;;
85;3654;3654;3654;3654;3654;;;3570;3570;3570;3570;3570;;;3542;167;167;167;3570;;;946;946;946;946;946;;;585;644;630;661;644;;;
86;3740;3740;3740;3740;3740;;;3655;3655;3655;3655;3655;;;3577;169;169;169;3655;;;1045;959;959;959;959;;;602;695;672;649;656;;;
87;3827;3827;3827;3827;3827;;;3741;3741;3741;3741;3741;;;3705;171;171;171;3741;;;1234;973;973;973;973;;;736;573;689;624;633;;;
88;3915;3915;3915;3915;3915;;;3828;3828;3828;3828;3828;;;3692;173;173;173;3828;;;1065;977;977;977;1065;;;690;641;631;709;690;;;
89;4004;4004;4004;4004;4004;;;3916;3916;3916;3916;3916;;;3916;175;175;175;3916;;;1077;988;988;988;1077;;;708;680;670;639;804;;;
90;4094;4094;4094;4094;4094;;;4005;4005;4005;4005;4005;;;3969;177;177;177;4005;;;1090;1000;1000;1000;1090;;;712;761;710;622;713;;;
91;4185;4185;4185;4185;4185;;;4095;4095;4095;4095;4095;;;3975;179;179;179;4095;;;1013;1013;1013;1013;1013;;;673;676;687;821;651;;;
92;4277;4277;4277;4277;4277;;;4186;4186;4186;4186;4186;;;4095;181;181;181;4186;;;1211;1027;1027;1027;1119;;;771;689;684;629;713;;;
93;4370;4370;4370;4370;4370;;;4278;4278;4278;4278;4278;;;4187;183;183;183;4278;;;1223;1037;1037;1037;1037;;;759;668;791;752;772;;;
94;4464;4464;4464;4464;4464;;;4371;4371;4371;4371;4371;;;4266;185;185;185;4371;;;1139;1045;1045;1045;1139;;;796;745;826;700;769;;;
95;4559;4559;4559;4559;4559;;;4465;4465;4465;4465;4465;;;4294;187;187;187;4465;;;1052;1052;1052;1052;1147;;;652;721;728;725;725;;;
96;4655;4655;4655;4655;4655;;;4560;4560;4560;4560;4560;;;4407;189;189;189;4560;;;1162;1066;1066;1066;1162;;;724;744;769;756;692;;;
97;4752;4752;4752;4752;4752;;;4656;4656;4656;4656;4656;;;4653;191;191;191;4656;;;1176;1079;1079;1079;1079;;;722;746;742;757;731;;;
98;4850;4850;4850;4850;4850;;;4753;4753;4753;4753;4753;;;4687;193;193;193;4753;;;1385;1091;1091;1091;1189;;;700;880;694;777;800;;;
99;4949;4949;4949;4949;4949;;;4851;4851;4851;4851;4851;;;4830;195;195;195;4851;;;1201;1102;1102;1102;1102;;;741;737;776;798;824;;;
100;5049;5049;5049;5049;5049;;;4950;4950;4950;4950;4950;;;4719;197;197;197;4950;;;1216;1116;1116;1116;1216;;;878;711;753;759;718;;;
101;5150;5150;5150;5150;5150;;;5050;5050;5050;5050;5050;;;5047;199;199;199;5050;;;1218;1218;1218;1218;1218;;;752;762;753;836;802;;;
102;5252;5252;5252;5252;5252;;;5151;5151;5151;5151;5151;;;5085;201;201;201;5151;;;1229;1229;1229;1229;1229;;;874;1054;843;758;876;;;
103;5355;5355;5355;5355;5355;;;5253;5253;5253;5253;5253;;;5063;203;203;203;5253;;;1346;1243;1243;1243;1243;;;759;815;835;755;967;;;
104;5459;5459;5459;5459;5459;;;5356;5356;5356;5356;5356;;;5320;205;205;205;5356;;;1360;1256;1256;1256;1256;;;875;762;829;860;754;;;
105;5564;5564;5564;5564;5564;;;5460;5460;5460;5460;5460;;;5382;207;207;207;5460;;;1271;1271;1271;1271;1271;;;767;790;822;947;860;;;
106;5670;5670;5670;5670;5670;;;5565;5565;5565;5565;5565;;;5559;209;209;209;5565;;;1281;1281;1281;1281;1281;;;884;804;776;810;814;;;
107;5777;5777;5777;5777;5777;;;5671;5671;5671;5671;5671;;;5671;211;211;211;5671;;;1293;1293;1293;1293;1293;;;941;858;814;757;818;;;
108;5885;5885;5885;5885;5885;;;5778;5778;5778;5778;5778;;;5733;213;213;213;5778;;;1415;1307;1307;1307;1307;;;852;866;883;884;894;;;
109;5994;5994;5994;5994;5994;;;5886;5886;5886;5886;5886;;;5850;215;215;215;5886;;;1322;1322;1322;1322;1322;;;801;845;900;1019;899;;;
110;6104;6104;6104;6104;6104;;;5995;5995;5995;5995;5995;;;5959;217;217;217;5995;;;1438;1328;1328;1328;1328;;;873;839;848;842;899;;;
111;6215;6215;6215;6215;6215;;;6105;6105;6105;6105;6105;;;6050;219;219;219;6105;;;1337;1337;1337;1337;1337;;;774;910;894;852;831;;;
112;6327;6327;6327;6327;6327;;;6216;6216;6216;6216;6216;;;6096;221;221;221;6216;;;1350;1350;1350;1350;1350;;;858;1051;877;842;946;;;
113;6440;6440;6440;6440;6440;;;6328;6328;6328;6328;6328;;;6322;223;223;223;6328;;;1365;1365;1365;1365;1365;;;975;877;954;864;879;;;
114;6554;6554;6554;6554;6554;;;6441;6441;6441;6441;6441;;;6386;225;225;225;6441;;;1379;1379;1379;1379;1379;;;915;966;1115;912;1060;;;
115;6669;6669;6669;6669;6669;;;6555;6555;6555;6555;6555;;;6279;227;227;227;6555;;;1498;1383;1383;1383;1498;;;957;897;925;972;910;;;
116;6785;6785;6785;6785;6785;;;6670;6670;6670;6670;6670;;;6565;229;229;229;6670;;;1510;1394;1394;1394;1510;;;997;1072;902;906;894;;;
117;6902;6902;6902;6902;6902;;;6786;6786;6786;6786;6786;;;6708;231;231;231;6786;;;1523;1406;1406;1406;1523;;;879;962;934;914;940;;;
118;7020;7020;7020;7020;7020;;;6903;6903;6903;6903;6903;;;6888;233;233;233;6903;;;1539;1421;1421;1421;1539;;;1107;1009;916;855;997;;;
119;7139;7139;7139;7139;7139;;;7021;7021;7021;7021;7021;;;6916;235;235;235;7021;;;1553;1434;1434;1434;1434;;;933;970;971;1012;871;;;
120;7259;7259;7259;7259;7259;;;7140;7140;7140;7140;7140;;;7095;237;237;237;7140;;;1688;1448;1448;1448;1568;;;906;929;1033;934;935;;;
121;7380;7380;7380;7380;7380;;;7260;7260;7260;7260;7260;;;7254;239;239;239;7260;;;1700;1458;1458;1458;1579;;;948;1049;933;953;920;;;
122;7502;7502;7502;7502;7502;;;7381;7381;7381;7381;7381;;;7336;241;241;241;7381;;;1595;1473;1473;1473;1595;;;1022;1225;874;971;1060;;;
123;7625;7625;7625;7625;7625;;;7503;7503;7503;7503;7503;;;7497;243;243;243;7503;;;1604;1481;1481;1481;1481;;;1105;982;1030;950;1145;;;
124;7749;7749;7749;7749;7749;;;7626;7626;7626;7626;7626;;;7623;245;245;245;7626;;;1612;1488;1488;1488;1612;;;1024;937;1046;1077;1134;;;
125;7874;7874;7874;7874;7874;;;7750;7750;7750;7750;7750;;;7695;247;247;247;7750;;;1627;1502;1502;1502;1627;;;1019;986;952;1037;1184;;;
126;8000;8000;8000;8000;8000;;;7875;7875;7875;7875;7875;;;7755;249;249;249;7875;;;1643;1517;1517;1517;1643;;;1014;899;1184;991;1073;;;
127;8127;8127;8127;8127;8127;;;8001;8001;8001;8001;8001;;;7935;251;251;251;8001;;;1657;1530;1530;1530;1657;;;1139;996;1094;936;1029;;;
128;8255;8255;8255;8255;8255;;;8128;8128;8128;8128;8128;;;7498;253;253;253;8128;;;1670;1542;1542;1542;1670;;;1069;1004;990;1104;1098;;;
129;8384;8384;8384;8384;8384;;;8256;8256;8256;8256;8256;;;8151;255;255;255;8256;;;1682;1553;1553;1553;1553;;;1075;987;996;982;1029;;;
130;8514;8514;8514;8514;8514;;;8385;8385;8385;8385;8385;;;8175;257;257;257;8385;;;1697;1567;1567;1567;1697;;;996;1211;1024;1225;1022;;;
131;8645;8645;8645;8645;8645;;;8515;8515;8515;8515;8515;;;8479;259;259;259;8515;;;1713;1582;1582;1582;1713;;;976;1165;1068;1054;1282;;;
132;8777;8777;8777;8777;8777;;;8646;8646;8646;8646;8646;;;8526;261;261;261;8646;;;1715;1715;1715;1715;1715;;;1197;1263;1027;1074;1092;;;
133;8910;8910;8910;8910;8910;;;8778;8778;8778;8778;8778;;;8768;263;263;263;8778;;;1726;1726;1726;1726;1726;;;1154;1202;1158;1086;1088;;;
