N;Aleat triSelection;PresqueTri triSelection;PresqueTriDeb triSelection;PresqueTriDebFin triSelection;PresqueTriFin triSelection;;;Aleat triBulles;PresqueTri triBulles;PresqueTriDeb triBulles;PresqueTriDebFin triBulles;PresqueTriFin triBulles;;;Aleat triBullesOpti;PresqueTri triBullesOpti;PresqueTriDeb triBullesOpti;PresqueTriDebFin triBullesOpti;PresqueTriFin triBullesOpti;;;Aleat triPeigne;PresqueTri triPeigne;PresqueTriDeb triPeigne;PresqueTriDebFin triPeigne;PresqueTriFin triPeigne;;;Aleat triRapide;PresqueTri triRapide;PresqueTriDeb triRapide;PresqueTriDebFin triRapide;PresqueTriFin triRapide;;;
377;71252;71252;71252;71252;71252;;;70876;70876;70876;70876;70876;;;70623;751;751;751;70876;;;6346;5969;5969;5969;6346;;;3920;3663;3748;3909;4147;;;
378;71630;71630;71630;71630;71630;;;71253;71253;71253;71253;71253;;;70788;753;753;753;71253;;;6366;5988;5988;5988;6366;;;4923;3602;4357;3637;3948;;;
379;72009;72009;72009;72009;72009;;;71631;71631;71631;71631;71631;;;70596;755;755;755;71631;;;6764;6006;6006;6006;6385;;;4288;3789;3624;3755;3886;;;
380;72389;72389;72389;72389;72389;;;72010;72010;72010;72010;72010;;;71839;757;757;757;72010;;;7147;6387;6387;6387;6387;;;3890;3859;3868;3870;3597;;;
381;72770;72770;72770;72770;72770;;;72390;72390;72390;72390;72390;;;72384;759;759;759;72390;;;6779;6398;6398;6398;6398;;;3881;3887;3735;3811;3689;;;
382;73152;73152;73152;73152;73152;;;72771;72771;72771;72771;72771;;;71643;761;761;761;72771;;;6800;6418;6418;6418;6418;;;3656;4661;3796;3781;3810;;;
383;73535;73535;73535;73535;73535;;;73153;73153;73153;73153;73153;;;73017;763;763;763;73153;;;6436;6436;6436;6436;6436;;;3758;3970;3924;4079;4579;;;
384;73919;73919;73919;73919;73919;;;73536;73536;73536;73536;73536;;;73416;765;765;765;73536;;;6839;6455;6455;6455;6455;;;3956;4193;3931;4014;4413;;;
385;74304;74304;74304;74304;74304;;;73920;73920;73920;73920;73920;;;73784;767;767;767;73920;;;6857;6472;6472;6472;6472;;;3619;4331;4509;3723;3804;;;
386;74690;74690;74690;74690;74690;;;74305;74305;74305;74305;74305;;;74134;769;769;769;74305;;;6878;6492;6492;6492;6492;;;3998;3912;3969;4015;3721;;;
387;75077;75077;75077;75077;75077;;;74691;74691;74691;74691;74691;;;74636;771;771;771;74691;;;7667;6506;6506;6506;6506;;;4330;4351;3994;3750;4447;;;
388;75465;75465;75465;75465;75465;;;75078;75078;75078;75078;75078;;;74672;773;773;773;75078;;;6910;6522;6522;6522;6522;;;4365;3811;4113;4638;4010;;;
389;75854;75854;75854;75854;75854;;;75466;75466;75466;75466;75466;;;75361;775;775;775;75466;;;6929;6540;6540;6540;6540;;;4052;3930;4208;4234;4258;;;
390;76244;76244;76244;76244;76244;;;75855;75855;75855;75855;75855;;;75390;777;777;777;75855;;;6559;6559;6559;6559;6559;;;4195;3928;3757;4142;4136;;;
391;76635;76635;76635;76635;76635;;;76245;76245;76245;76245;76245;;;75867;779;779;779;76245;;;6970;6579;6579;6579;6579;;;4067;4012;4258;4624;4557;;;
392;77027;77027;77027;77027;77027;;;76636;76636;76636;76636;76636;;;76446;781;781;781;76636;;;6592;6592;6592;6592;6592;;;4104;3819;3986;3878;4552;;;
393;77420;77420;77420;77420;77420;;;77028;77028;77028;77028;77028;;;76937;783;783;783;77028;;;7002;6609;6609;6609;6609;;;4457;3985;4094;3825;4414;;;
394;77814;77814;77814;77814;77814;;;77421;77421;77421;77421;77421;;;77285;785;785;785;77421;;;7412;6624;6624;6624;6624;;;4070;3895;4057;3985;4178;;;
395;78209;78209;78209;78209;78209;;;77815;77815;77815;77815;77815;;;77695;787;787;787;77815;;;7039;6644;6644;6644;6644;;;4295;3862;3971;4649;4543;;;
396;78605;78605;78605;78605;78605;;;78210;78210;78210;78210;78210;;;78020;789;789;789;78210;;;7059;6663;6663;6663;6663;;;3977;4439;3843;3876;4320;;;
397;79002;79002;79002;79002;79002;;;78606;78606;78606;78606;78606;;;78515;791;791;791;78606;;;7070;6673;6673;6673;6673;;;4521;4076;4035;4269;3963;;;
398;79400;79400;79400;79400;79400;;;79003;79003;79003;79003;79003;;;78937;793;793;793;79003;;;7089;6691;6691;6691;6691;;;3978;3986;4407;4451;4073;;;
399;79799;79799;79799;79799;79799;;;79401;79401;79401;79401;79401;;;79248;795;795;795;79401;;;7110;6711;6711;6711;6711;;;4144;4132;4398;4224;4116;;;
400;80199;80199;80199;80199;80199;;;79800;79800;79800;79800;79800;;;79059;797;797;797;79800;;;6727;6727;6727;6727;6727;;;4431;3975;4010;4070;3908;;;
401;80600;80600;80600;80600;80600;;;80200;80200;80200;80200;80200;;;80064;799;799;799;80200;;;7147;6746;6746;6746;6746;;;4519;4439;4547;4134;4046;;;
402;81002;81002;81002;81002;81002;;;80601;80601;80601;80601;80601;;;80223;801;801;801;80601;;;7160;6758;6758;6758;6758;;;4272;4226;4197;4819;4623;;;
403;81405;81405;81405;81405;81405;;;81003;81003;81003;81003;81003;;;80867;803;803;803;81003;;;7178;6775;6775;6775;6775;;;4568;4360;4334;4075;3861;;;
404;81809;81809;81809;81809;81809;;;81406;81406;81406;81406;81406;;;81396;805;805;805;81406;;;6795;6795;6795;6795;6795;;;4781;4143;4344;4360;4727;;;
405;82214;82214;82214;82214;82214;;;81810;81810;81810;81810;81810;;;81432;807;807;807;81810;;;6813;6813;6813;6813;6813;;;4420;4033;4141;4160;4590;;;
406;82620;82620;82620;82620;82620;;;82215;82215;82215;82215;82215;;;81654;809;809;809;82215;;;7233;6827;6827;6827;6827;;;4198;4859;4174;4132;4490;;;
407;83027;83027;83027;83027;83027;;;82621;82621;82621;82621;82621;;;82576;811;811;811;82621;;;7253;6846;6846;6846;6846;;;4109;4481;4325;4062;3859;;;
408;83435;83435;83435;83435;83435;;;83028;83028;83028;83028;83028;;;82962;813;813;813;83028;;;7274;6866;6866;6866;6866;;;4103;4474;4877;4224;4006;;;
409;83844;83844;83844;83844;83844;;;83436;83436;83436;83436;83436;;;83408;815;815;815;83436;;;7290;6881;6881;6881;6881;;;4307;4470;4352;4126;4399;;;
410;84254;84254;84254;84254;84254;;;83845;83845;83845;83845;83845;;;82717;817;817;817;83845;;;7707;6887;6887;6887;6887;;;4145;4178;4477;4927;4751;;;
411;84665;84665;84665;84665;84665;;;84255;84255;84255;84255;84255;;;83727;819;819;819;84255;;;7727;6905;6905;6905;6905;;;4646;4379;4166;3874;4116;;;
412;85077;85077;85077;85077;85077;;;84666;84666;84666;84666;84666;;;84138;821;821;821;84666;;;7337;6925;6925;6925;6925;;;4188;4553;4444;4679;4023;;;
413;85490;85490;85490;85490;85490;;;85078;85078;85078;85078;85078;;;84700;823;823;823;85078;;;7357;6944;6944;6944;6944;;;4384;4780;4061;4593;5309;;;
414;85904;85904;85904;85904;85904;;;85491;85491;85491;85491;85491;;;85400;825;825;825;85491;;;7375;6961;6961;6961;6961;;;4259;4448;4421;4479;4283;;;
415;86319;86319;86319;86319;86319;;;85905;85905;85905;85905;85905;;;85629;827;827;827;85905;;;8222;6977;6977;6977;6977;;;4349;4333;4233;4349;4049;;;
416;86735;86735;86735;86735;86735;;;86320;86320;86320;86320;86320;;;86149;829;829;829;86320;;;7402;6986;6986;6986;6986;;;4044;4917;4286;4416;4096;;;
417;87152;87152;87152;87152;87152;;;86736;86736;86736;86736;86736;;;86681;831;831;831;86736;;;8257;7006;7006;7006;7006;;;4346;4684;4275;4397;5024;;;
418;87570;87570;87570;87570;87570;;;87153;87153;87153;87153;87153;;;86775;833;833;833;87153;;;7443;7025;7025;7025;7025;;;4000;4611;4215;4795;4356;;;
419;87989;87989;87989;87989;87989;;;87571;87571;87571;87571;87571;;;87526;835;835;835;87571;;;7876;7038;7038;7038;7038;;;4428;4266;4254;4445;4377;;;
420;88409;88409;88409;88409;88409;;;87990;87990;87990;87990;87990;;;87924;837;837;837;87990;;;7896;7056;7056;7056;7056;;;4139;4008;4739;4320;4461;;;
421;88830;88830;88830;88830;88830;;;88410;88410;88410;88410;88410;;;88374;839;839;839;88410;;;7918;7076;7076;7076;7076;;;4625;4409;4675;4978;4645;;;
422;89252;89252;89252;89252;89252;;;88831;88831;88831;88831;88831;;;88641;841;841;841;88831;;;7937;7093;7093;7093;7093;;;4786;4240;4665;4079;4218;;;
423;89675;89675;89675;89675;89675;;;89253;89253;89253;89253;89253;;;89175;843;843;843;89253;;;7531;7108;7108;7108;7108;;;4090;4220;4674;4305;4380;;;
424;90099;90099;90099;90099;90099;;;89676;89676;89676;89676;89676;;;89180;845;845;845;89676;;;7551;7127;7127;7127;7127;;;4832;4908;4308;4584;4325;;;
425;90524;90524;90524;90524;90524;;;90100;90100;90100;90100;90100;;;89869;847;847;847;90100;;;7997;7147;7147;7147;7147;;;4469;4320;4675;4586;4230;;;
426;90950;90950;90950;90950;90950;;;90525;90525;90525;90525;90525;;;90420;849;849;849;90525;;;8441;7163;7163;7163;7163;;;4120;4607;4679;4482;4273;;;
427;91377;91377;91377;91377;91377;;;90951;90951;90951;90951;90951;;;90885;851;851;851;90951;;;8889;7181;7181;7181;7181;;;4982;4417;4526;4444;4463;;;
428;91805;91805;91805;91805;91805;;;91378;91378;91378;91378;91378;;;91125;853;853;853;91378;;;8051;7195;7195;7195;7195;;;4481;4551;4309;5059;4428;;;
429;92234;92234;92234;92234;92234;;;91806;91806;91806;91806;91806;;;90266;855;855;855;91806;;;8930;7214;7214;7214;7214;;;4328;4660;5060;4922;4507;;;
430;92664;92664;92664;92664;92664;;;92235;92235;92235;92235;92235;;;91739;857;857;857;92235;;;7664;7234;7234;7234;7234;;;4266;4899;4767;4442;4195;;;
431;93095;93095;93095;93095;93095;;;92665;92665;92665;92665;92665;;;92169;859;859;859;92665;;;8962;7238;7238;7238;7669;;;4125;4335;4478;5134;4168;;;
432;93527;93527;93527;93527;93527;;;93096;93096;93096;93096;93096;;;93018;861;861;861;93096;;;8119;7255;7255;7255;7687;;;4375;4927;4846;4405;4773;;;
433;93960;93960;93960;93960;93960;;;93528;93528;93528;93528;93528;;;92582;863;863;863;93528;;;9005;7273;7273;7273;7706;;;4562;4919;4495;4401;4606;;;
434;94394;94394;94394;94394;94394;;;93961;93961;93961;93961;93961;;;93496;865;865;865;93961;;;8161;7293;7293;7293;7727;;;4503;4285;4674;4529;4597;;;
435;94829;94829;94829;94829;94829;;;94395;94395;94395;94395;94395;;;93930;867;867;867;94395;;;8182;7312;7312;7312;7747;;;5181;4835;4797;4237;5659;;;
436;95265;95265;95265;95265;95265;;;94830;94830;94830;94830;94830;;;94785;869;869;869;94830;;;8195;7323;7323;7323;7759;;;4609;4401;4389;4847;4307;;;
437;95702;95702;95702;95702;95702;;;95266;95266;95266;95266;95266;;;94185;871;871;871;95266;;;8213;7339;7339;7339;7776;;;5042;4450;4952;4242;4515;;;
438;96140;96140;96140;96140;96140;;;95703;95703;95703;95703;95703;;;95427;873;873;873;95703;;;9111;7359;7359;7359;7797;;;4625;4582;4617;4203;4289;;;
439;96579;96579;96579;96579;96579;;;96141;96141;96141;96141;96141;;;96021;875;875;875;96141;;;8249;7371;7371;7371;7810;;;4837;5083;5171;4570;4633;;;
440;97019;97019;97019;97019;97019;;;96580;96580;96580;96580;96580;;;96502;877;877;877;96580;;;8708;7388;7388;7388;7828;;;4352;4425;4693;4963;4640;;;
441;97460;97460;97460;97460;97460;;;97020;97020;97020;97020;97020;;;96992;879;879;879;97020;;;9612;7407;7407;7407;7848;;;4810;4338;4807;4384;4796;;;
442;97902;97902;97902;97902;97902;;;97461;97461;97461;97461;97461;;;97406;881;881;881;97461;;;9635;7425;7425;7425;7867;;;5162;4686;5009;4784;5092;;;
443;98345;98345;98345;98345;98345;;;97903;97903;97903;97903;97903;;;97848;883;883;883;97903;;;9217;7445;7445;7445;7888;;;5316;4884;4448;5621;4882;;;
444;98789;98789;98789;98789;98789;;;98346;98346;98346;98346;98346;;;97751;885;885;885;98346;;;8348;7460;7460;7460;7904;;;5268;4691;4727;4925;4843;;;
445;99234;99234;99234;99234;99234;;;98790;98790;98790;98790;98790;;;98465;887;887;887;98790;;;8363;7473;7473;7473;7918;;;5138;4458;4934;4706;5360;;;
446;99680;99680;99680;99680;99680;;;99235;99235;99235;99235;99235;;;99220;889;889;889;99235;;;9276;7492;7492;7492;7938;;;4822;4811;4888;5757;4950;;;
447;100127;100127;100127;100127;100127;;;99681;99681;99681;99681;99681;;;99491;891;891;891;99681;;;10194;7512;7512;7512;7959;;;4563;4731;4465;4391;4736;;;
448;100575;100575;100575;100575;100575;;;100128;100128;100128;100128;100128;;;99632;893;893;893;100128;;;9766;7526;7526;7526;7974;;;5548;4355;5594;5133;4917;;;
449;101024;101024;101024;101024;101024;;;100576;100576;100576;100576;100576;;;100198;895;895;895;100576;;;9789;7544;7544;7544;7993;;;4800;5114;4843;4398;4372;;;
450;101474;101474;101474;101474;101474;;;101025;101025;101025;101025;101025;;;99849;897;897;897;101025;;;8461;7561;7561;7561;8011;;;4673;5416;4700;4485;5237;;;
451;101925;101925;101925;101925;101925;;;101475;101475;101475;101475;101475;;;101010;899;899;899;101475;;;8032;7581;7581;7581;8032;;;4503;5047;4892;5111;4704;;;
452;102377;102377;102377;102377;102377;;;101926;101926;101926;101926;101926;;;101911;901;901;901;101926;;;10312;7600;7600;7600;8052;;;4820;5642;5324;5797;4703;;;
453;102830;102830;102830;102830;102830;;;102378;102378;102378;102378;102378;;;102147;903;903;903;102378;;;9428;7616;7616;7616;8069;;;4950;4610;4934;5119;4939;;;
454;103284;103284;103284;103284;103284;;;102831;102831;102831;102831;102831;;;102011;905;905;905;102831;;;8988;7626;7626;7626;8080;;;4845;4735;4768;4866;5107;;;
455;103739;103739;103739;103739;103739;;;103285;103285;103285;103285;103285;;;103114;907;907;907;103285;;;8099;7644;7644;7644;8099;;;5075;4678;5154;4829;5585;;;
456;104195;104195;104195;104195;104195;;;103740;103740;103740;103740;103740;;;103550;909;909;909;103740;;;9032;7664;7664;7664;8120;;;4982;5307;4888;4782;4850;;;
457;104652;104652;104652;104652;104652;;;104196;104196;104196;104196;104196;;;103845;911;911;911;104196;;;9050;7679;7679;7679;8136;;;5245;5043;4788;4746;4910;;;
458;105110;105110;105110;105110;105110;;;104653;104653;104653;104653;104653;;;104517;913;913;913;104653;;;8614;7698;7698;7698;8156;;;4868;5002;4998;4993;4713;;;
459;105569;105569;105569;105569;105569;;;105111;105111;105111;105111;105111;;;104786;915;915;915;105111;;;8165;7706;7706;7706;8165;;;5322;4830;4796;5066;4557;;;
460;106029;106029;106029;106029;106029;;;105570;105570;105570;105570;105570;;;105399;917;917;917;105570;;;9106;7726;7726;7726;8186;;;4853;5007;4917;5194;4688;;;
461;106490;106490;106490;106490;106490;;;106030;106030;106030;106030;106030;;;106009;919;919;919;106030;;;8665;7743;7743;7743;8204;;;4602;4969;4568;4618;5024;;;
462;106952;106952;106952;106952;106952;;;106491;106491;106491;106491;106491;;;106026;921;921;921;106491;;;8683;7759;7759;7759;8221;;;4743;4883;4922;4935;5341;;;
463;107415;107415;107415;107415;107415;;;106953;106953;106953;106953;106953;;;106425;923;923;923;106953;;;8704;7778;7778;7778;8241;;;5033;5038;4754;5249;5253;;;
464;107879;107879;107879;107879;107879;;;107416;107416;107416;107416;107416;;;107263;925;925;925;107416;;;8726;7798;7798;7798;8262;;;4552;4770;5122;5126;4651;;;
465;108344;108344;108344;108344;108344;;;107880;107880;107880;107880;107880;;;107670;927;927;927;107880;;;8746;7816;7816;7816;8281;;;5327;5547;5089;5138;4936;;;
466;108810;108810;108810;108810;108810;;;108345;108345;108345;108345;108345;;;108114;929;929;929;108345;;;8755;7823;7823;7823;8289;;;5314;5155;5267;5500;5188;;;
467;109277;109277;109277;109277;109277;;;108811;108811;108811;108811;108811;;;108346;931;931;931;108811;;;8304;7837;7837;7837;8304;;;4671;5222;5031;5306;5189;;;
468;109745;109745;109745;109745;109745;;;109278;109278;109278;109278;109278;;;109233;933;933;933;109278;;;8792;7856;7856;7856;8324;;;5467;4889;5481;5359;4817;;;
469;110214;110214;110214;110214;110214;;;109746;109746;109746;109746;109746;;;108711;935;935;935;109746;;;8814;7876;7876;7876;8345;;;4698;5129;5052;5323;5056;;;
470;110684;110684;110684;110684;110684;;;110215;110215;110215;110215;110215;;;109474;937;937;937;110215;;;8833;7893;7893;7893;8363;;;4612;5070;4960;4966;4870;;;
471;111155;111155;111155;111155;111155;;;110685;110685;110685;110685;110685;;;110279;939;939;939;110685;;;8382;7911;7911;7911;8382;;;5462;4858;4781;4977;4845;;;
472;111627;111627;111627;111627;111627;;;111156;111156;111156;111156;111156;;;109265;941;941;941;111156;;;8870;7926;7926;7926;8398;;;4776;4677;5241;5033;5269;;;
473;112100;112100;112100;112100;112100;;;111628;111628;111628;111628;111628;;;110302;943;943;943;111628;;;9838;7946;7946;7946;8419;;;5315;4758;4846;5231;4995;;;
474;112574;112574;112574;112574;112574;;;112101;112101;112101;112101;112101;;;111695;945;945;945;112101;;;8910;7962;7962;7962;8436;;;5165;5445;5389;5366;5204;;;
475;113049;113049;113049;113049;113049;;;112575;112575;112575;112575;112575;;;112547;947;947;947;112575;;;8456;7981;7981;7981;8456;;;5553;5231;4567;4987;5228;;;
476;113525;113525;113525;113525;113525;;;113050;113050;113050;113050;113050;;;112309;949;949;949;113050;;;9898;7994;7994;7994;8470;;;5206;4827;5275;4962;5222;;;
477;114002;114002;114002;114002;114002;;;113526;113526;113526;113526;113526;;;113201;951;951;951;113526;;;9922;8014;8014;8014;8491;;;5259;4956;5145;5181;5670;;;
478;114480;114480;114480;114480;114480;;;114003;114003;114003;114003;114003;;;113925;953;953;953;114003;;;9466;8032;8032;8032;8510;;;4992;4776;4894;5314;4703;;;
479;114959;114959;114959;114959;114959;;;114481;114481;114481;114481;114481;;;114328;955;955;955;114481;;;8528;8049;8049;8049;8528;;;5164;6490;5367;5110;5335;;;
480;115439;115439;115439;115439;115439;;;114960;114960;114960;114960;114960;;;113970;957;957;957;114960;;;9508;8068;8068;8068;8548;;;5437;5373;5574;5032;5091;;;
481;115920;115920;115920;115920;115920;;;115440;115440;115440;115440;115440;;;115335;959;959;959;115440;;;10485;8080;8080;8080;8561;;;5157;5219;5129;4922;5454;;;
482;116402;116402;116402;116402;116402;;;115921;115921;115921;115921;115921;;;115731;961;961;961;115921;;;9064;8100;8100;8100;8582;;;5363;4966;5441;4717;5608;;;
483;116885;116885;116885;116885;116885;;;116403;116403;116403;116403;116403;;;116213;963;963;963;116403;;;9077;8111;8111;8111;8594;;;5679;5610;5175;5602;5256;;;
484;117369;117369;117369;117369;117369;;;116886;116886;116886;116886;116886;;;116480;965;965;965;116886;;;9577;8125;8125;8125;8609;;;5175;5627;5264;4936;5430;;;
485;117854;117854;117854;117854;117854;;;117370;117370;117370;117370;117370;;;116740;967;967;967;117370;;;8629;8144;8144;8144;8629;;;4879;6188;4946;5191;5092;;;
486;118340;118340;118340;118340;118340;;;117855;117855;117855;117855;117855;;;117702;969;969;969;117855;;;9136;8164;8164;8164;8650;;;5660;5153;4912;5152;5580;;;
487;118827;118827;118827;118827;118827;;;118341;118341;118341;118341;118341;;;117711;971;971;971;118341;;;9156;8182;8182;8182;8669;;;5432;5143;5857;5059;5490;;;
488;119315;119315;119315;119315;119315;;;118828;118828;118828;118828;118828;;;118477;973;973;973;118828;;;9662;8198;8198;8198;8686;;;6500;5204;5603;5569;6075;;;
489;119804;119804;119804;119804;119804;;;119316;119316;119316;119316;119316;;;119145;975;975;975;119316;;;9682;8215;8215;8215;8704;;;5903;4972;4988;5344;5243;;;
490;120294;120294;120294;120294;120294;;;119805;119805;119805;119805;119805;;;119175;977;977;977;119805;;;9215;8235;8235;8235;8725;;;5354;5660;5609;5081;5606;;;
491;120785;120785;120785;120785;120785;;;120295;120295;120295;120295;120295;;;120250;979;979;979;120295;;;9232;8250;8250;8250;8741;;;5348;5161;5402;5631;5240;;;
492;121277;121277;121277;121277;121277;;;120786;120786;120786;120786;120786;;;120708;981;981;981;120786;;;9253;8269;8269;8269;8761;;;5290;5238;5247;5262;6052;;;
493;121770;121770;121770;121770;121770;;;121278;121278;121278;121278;121278;;;120102;983;983;983;121278;;;10259;8287;8287;8287;8780;;;5494;5040;5155;5348;5496;;;
494;122264;122264;122264;122264;122264;;;121771;121771;121771;121771;121771;;;121716;985;985;985;121771;;;9276;8782;8782;8782;8782;;;5363;5289;5494;5287;5520;;;
495;122759;122759;122759;122759;122759;;;122265;122265;122265;122265;122265;;;122055;987;987;987;122265;;;9298;8803;8803;8803;8803;;;5228;5699;5527;5008;5155;;;
496;123255;123255;123255;123255;123255;;;122760;122760;122760;122760;122760;;;122655;989;989;989;122760;;;9310;8814;8814;8814;8814;;;5855;5244;5284;5648;6064;;;
497;123752;123752;123752;123752;123752;;;123256;123256;123256;123256;123256;;;122128;991;991;991;123256;;;9331;8834;8834;8834;8834;;;5067;5586;6163;5301;5539;;;
498;124250;124250;124250;124250;124250;;;123753;123753;123753;123753;123753;;;123257;993;993;993;123753;;;9350;8852;8852;8852;8852;;;5529;5282;5390;5706;6212;;;
499;124749;124749;124749;124749;124749;;;124251;124251;124251;124251;124251;;;124251;995;995;995;124251;;;9372;8873;8873;8873;8873;;;5352;5372;5176;5467;5982;;;
500;125249;125249;125249;125249;125249;;;124750;124750;124750;124750;124750;;;124497;997;997;997;124750;;;9392;8892;8892;8892;8892;;;5441;6232;5688;5428;5770;;;
501;125750;125750;125750;125750;125750;;;125250;125250;125250;125250;125250;;;125079;999;999;999;125250;;;9410;8909;8909;8909;8909;;;5642;5737;5238;5211;5440;;;
502;126252;126252;126252;126252;126252;;;125751;125751;125751;125751;125751;;;125286;1001;1001;1001;125751;;;9431;8929;8929;8929;8929;;;5885;5296;5206;5714;5310;;;
503;126755;126755;126755;126755;126755;;;126253;126253;126253;126253;126253;;;125473;1003;1003;1003;126253;;;9453;8950;8950;8950;8950;;;5266;5900;5312;5179;5106;;;
504;127259;127259;127259;127259;127259;;;126756;126756;126756;126756;126756;;;125853;1005;1005;1005;126756;;;9468;8964;8964;8964;8964;;;6412;5328;5413;5278;5268;;;
505;127764;127764;127764;127764;127764;;;127260;127260;127260;127260;127260;;;126960;1007;1007;1007;127260;;;9485;8980;8980;8980;8980;;;5247;5100;4970;5607;4922;;;
506;128270;128270;128270;128270;128270;;;127765;127765;127765;127765;127765;;;126589;1009;1009;1009;127765;;;9504;8998;8998;8998;8998;;;5940;6118;5595;6026;5620;;;
507;128777;128777;128777;128777;128777;;;128271;128271;128271;128271;128271;;;127676;1011;1011;1011;128271;;;10031;9017;9017;9017;9017;;;6039;5354;5980;5481;5298;;;
508;129285;129285;129285;129285;129285;;;128778;128778;128778;128778;128778;;;128763;1013;1013;1013;128778;;;9038;9038;9038;9038;9038;;;5648;5652;5442;5372;5529;;;
509;129794;129794;129794;129794;129794;;;129286;129286;129286;129286;129286;;;129250;1015;1015;1015;129286;;;9567;9058;9058;9058;9058;;;5325;6369;5405;5780;5636;;;
510;130304;130304;130304;130304;130304;;;129795;129795;129795;129795;129795;;;129642;1017;1017;1017;129795;;;9581;9071;9071;9071;9071;;;5401;6568;5740;5399;5575;;;
511;130815;130815;130815;130815;130815;;;130305;130305;130305;130305;130305;;;130239;1019;1019;1019;130305;;;9599;9088;9088;9088;9088;;;5574;5662;6076;5269;5881;;;
512;131327;131327;131327;131327;131327;;;130816;130816;130816;130816;130816;;;130788;1021;1021;1021;130816;;;9621;9109;9109;9109;9109;;;6473;5651;5733;5601;5373;;;
513;131840;131840;131840;131840;131840;;;131328;131328;131328;131328;131328;;;131313;1023;1023;1023;131328;;;9637;9124;9124;9124;9124;;;5781;6148;5660;5639;5692;;;
514;132354;132354;132354;132354;132354;;;131841;131841;131841;131841;131841;;;131588;1025;1025;1025;131841;;;9658;9144;9144;9144;9144;;;5339;5549;6021;5810;5557;;;
515;132869;132869;132869;132869;132869;;;132355;132355;132355;132355;132355;;;132004;1027;1027;1027;132355;;;9678;9163;9163;9163;9163;;;5484;6344;5281;6130;5597;;;
516;133385;133385;133385;133385;133385;;;132870;132870;132870;132870;132870;;;132275;1029;1029;1029;132870;;;9700;9184;9184;9184;9184;;;5568;5980;5357;5651;6390;;;
517;133902;133902;133902;133902;133902;;;133386;133386;133386;133386;133386;;;132305;1031;1031;1031;133386;;;9711;9194;9194;9194;9194;;;5614;5655;5920;5546;6207;;;
518;134420;134420;134420;134420;134420;;;133903;133903;133903;133903;133903;;;133497;1033;1033;1033;133903;;;9212;9212;9212;9212;9212;;;5682;6364;6474;5593;5549;;;
519;134939;134939;134939;134939;134939;;;134421;134421;134421;134421;134421;;;134421;1035;1035;1035;134421;;;9751;9232;9232;9232;9232;;;5682;5635;5461;5494;6124;;;
520;135459;135459;135459;135459;135459;;;134940;134940;134940;134940;134940;;;134475;1037;1037;1037;134940;;;9768;9248;9248;9248;9248;;;5562;5430;5273;5636;5836;;;
521;135980;135980;135980;135980;135980;;;135460;135460;135460;135460;135460;;;135135;1039;1039;1039;135460;;;9790;9269;9269;9269;9269;;;5915;5656;6036;5708;5955;;;
522;136502;136502;136502;136502;136502;;;135981;135981;135981;135981;135981;;;135705;1041;1041;1041;135981;;;9810;9288;9288;9288;9288;;;5289;5499;5920;6243;5806;;;
523;137025;137025;137025;137025;137025;;;136503;136503;136503;136503;136503;;;135018;1043;1043;1043;136503;;;9823;9300;9300;9300;9300;;;5819;5591;6002;5191;6356;;;
524;137549;137549;137549;137549;137549;;;137026;137026;137026;137026;137026;;;136960;1045;1045;1045;137026;;;9841;9317;9317;9317;9317;;;5823;5603;5707;5917;5281;;;
525;138074;138074;138074;138074;138074;;;137550;137550;137550;137550;137550;;;137360;1047;1047;1047;137550;;;9863;9338;9338;9338;9338;;;5547;5686;5367;6457;5606;;;
526;138600;138600;138600;138600;138600;;;138075;138075;138075;138075;138075;;;138054;1049;1049;1049;138075;;;9884;9358;9358;9358;9358;;;5989;6276;5853;5401;5802;;;
527;139127;139127;139127;139127;139127;;;138601;138601;138601;138601;138601;;;138523;1051;1051;1051;138601;;;9376;9376;9376;9376;9376;;;5889;5475;5821;6864;5754;;;
528;139655;139655;139655;139655;139655;;;139128;139128;139128;139128;139128;;;138803;1053;1053;1053;139128;;;9918;9390;9390;9390;9390;;;6075;5605;5773;6188;5702;;;
529;140184;140184;140184;140184;140184;;;139656;139656;139656;139656;139656;;;139331;1055;1055;1055;139656;;;9940;9411;9411;9411;9411;;;6039;5913;5461;5464;5706;;;
530;140714;140714;140714;140714;140714;;;140185;140185;140185;140185;140185;;;140130;1057;1057;1057;140185;;;9960;9430;9430;9430;9430;;;5782;6021;6262;5726;6275;;;
531;141245;141245;141245;141245;141245;;;140715;140715;140715;140715;140715;;;140250;1059;1059;1059;140715;;;9981;9450;9450;9450;9450;;;5414;5486;6443;6290;5805;;;
532;141777;141777;141777;141777;141777;;;141246;141246;141246;141246;141246;;;141036;1061;1061;1061;141246;;;9465;9465;9465;9465;9465;;;5901;5535;5469;6523;6324;;;
533;142310;142310;142310;142310;142310;;;141778;141778;141778;141778;141778;;;141453;1063;1063;1063;141778;;;11603;9471;9471;9471;9471;;;5889;6187;6388;6588;5462;;;
534;142844;142844;142844;142844;142844;;;142311;142311;142311;142311;142311;;;141531;1065;1065;1065;142311;;;11094;9492;9492;9492;9492;;;5651;5991;5308;5431;7118;;;
535;143379;143379;143379;143379;143379;;;142845;142845;142845;142845;142845;;;142725;1067;1067;1067;142845;;;11650;9510;9510;9510;9510;;;6018;5640;6429;5955;6135;;;
